price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
65000,,no,Intel Core i5-12400F,,,,16 ГБ,,,GIGABYTE GeForce RTX 3070 VISION OC (LHR) 8GB,,,MSI PRO H610M-E DDR4,,,https://www.avito.ru/chelyabinsk/nastolnye_kompyutery/igrovoy_pk_i5_12400f_rtx_3070_7854205241?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
35000,,no,Intel Xeon E5 2666 v3,,,,24 ГБ,,,MSI GeForce GTX 1660 ARMOR 6G,,,ASUS B150I PRO GAMING/WIFI/AURA,,,https://www.avito.ru/gubaha/nastolnye_kompyutery/moschnyy_pk_dlya_lyubyh_zadach_7867237044?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
15000,,no,Intel Core I5-680,,,,8 ГБ,,,NVIDIA GeForce GTX 750 4GB,,,ASUS A58M-E,,,https://www.avito.ru/ekaterinburg/nastolnye_kompyutery/igrovoy_sistemnyy_blok_7923036838?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
84990,,yes,AMD Ryzen 5 8400F,,,,16 ГБ,,,ASUS NVIDIA GeForce RTX 5060 8GB,,,MaxSun MS-Challenger B850M-K,,,https://www.avito.ru/omsk/nastolnye_kompyutery/igrovoy_pk_ryzen_5_8400frtx_5060_7715446982?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
7000,,no,Intel Celeron G1820,,,,4 ГБ,,,,,,GIGABYTE GA-H81M-D2V (rev. 2.0),,,https://www.avito.ru/sevastopol/nastolnye_kompyutery/personalnyy_kompyuter_sistemnyy_blok_bu_7838244975?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
2500,,no,Intel Atom 230,,,,4 ГБ,,,GIGABYTE GA-622-32C,,,GIGABYTE B560M H,,,https://www.avito.ru/bratsk/nastolnye_kompyutery/sistemnyy_blok_7826854326?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
54990,,no,Intel Core i5-12400,,,,16 ГБ,,,MSI GeForce RTX 3060 Ti VENTUS 2X OC 8GB,,,ASRock H510M-HDV,,,https://www.avito.ru/tulskaya_oblast_pervomayskiy/nastolnye_kompyutery/igrovoy_pk_i5-12400rtx3060ti16gb_7883311759?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
50000,,no,AMD Ryzen 5 5500,,,,16 ГБ,,,NVIDIA GeForce RTX2060 Super Founders Edition 8GB,,,ABIT A-S78H,,,https://www.avito.ru/krasnoyarsk/nastolnye_kompyutery/igrovoy_kompyuter_7816200490?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
71990,,yes,Intel Core i5-12400F,,,,16 ГБ,,,Palit GeForce RTX 5060 Dual OC 8GB,,,ASUS PRIME H610M-K D4 ARGB,,,https://www.avito.ru/anapa/nastolnye_kompyutery/igrovoy_kompyuter_rtx_5060_7909154162?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
8500,,no,Intel Core i5-4570,,,,8 ГБ,,,ASUS GeForce GT 740 2GB,,,GIGABYTE GA-B85M-HD3 (rev. 1.0),,,https://www.avito.ru/novosibirsk/nastolnye_kompyutery/komp_i5-dlya_igrrabotyucheby_7850529720?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
15000,,no,Intel Xeon E3-1230V2,,,,12 ГБ,,,GIGABYTE GeForce GTX 1050 Ti 4GB,,,ASUS B75M-PLUS,,,https://www.avito.ru/sokolskoe/nastolnye_kompyutery/igrovoy_kompyuter_7904856983?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
